"0xcdc87c","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x7","0x0","0x19","6","3","0x6","0x3","0x3","0x9","0xd","0x14","0x0","0x0","0x0","0x0"
"0x1","0x2","0x9","0x0","0x9","5","4","0x5","0x4","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x8","0x0","0x19","7","4","0x7","0x4","0xa","0x3","0x12","0x2c","0x0","0x0","0x0","0x0"
"0x3","0x38","0xc","0x0","0x61","7","2","0x7","0x2","0x3","0xd","0xe","0x0","0x0","0x0","0x0","0x0"
"0x4","0x5","0x13","0x0","0x49","2","1","0x2","0x1","0x20","0x28","0x2d","0x2a","0x0","0x0","0x0","0x0"
"0x5","0xe","0x1b","0x0","0x49","14","12","0xe","0xc","0x30","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x6","0x10","0x1e","0x0","0x9","16","12","0x10","0xc","0x3e","0x3f","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x7","0x16","0x26","0x0","0x51","3","2","0x3","0x2","0x44","0x45","0x46","0x4a","0x0","0x0","0x0","0x0"
"0x8","0x30","0x2a","0x0","0x49","15","11","0xf","0xb","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x9","0x1b","0x2d","0x0","0x29","9","2","0x9","0x2","0x4b","0x4d","0x4f","0x37","0x0","0x0","0x0","0x0"
"0xa","0x15","0x22","0x0","0x39","10","1","0xa","0x1","0x37","0x39","0x4b","0x4d","0x0","0x0","0x0","0x0"
"0xb","0x22","0x3b","0x0","0x21","15","13","0xf","0xd","0x24","0x1f","0x28","0x26","0x0","0x0","0x0","0x0"
"0xc","0x31","0x33","0x0","0x21","8","3","0x8","0x3","0x1a","0x1c","0x1e","0x1","0x0","0x0","0x0","0x0"
"0xd","0x23","0x3c","0x0","0x81","5","2","0x5","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x25","0x40","0x0","0x71","6","4","0x6","0x4","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x6","0xe","0x0","0x21","4","1","0x4","0x1","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x8","0x12","0x0","0x29","4","2","0x4","0x2","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x9","0x13","0x0","0x11","4","3","0x4","0x3","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x1","0x7","0x0","0x19","6","3","0x6","0x3","0x3","0x9","0xd","0x14","0x0","0x0","0x0","0x0"
"0x14","0x2","0x9","0x0","0x9","5","4","0x5","0x4","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x15","0x2d","0x8","0x0","0x19","7","4","0x7","0x4","0xa","0x3","0x12","0x2c","0x0","0x0","0x0","0x0"
"0x16","0x38","0xc","0x0","0x61","7","2","0x7","0x2","0x3","0xd","0xe","0x0","0x0","0x0","0x0","0x0"
"0x17","0x5","0x13","0x0","0x49","2","1","0x2","0x1","0x20","0x28","0x2d","0x2a","0x0","0x0","0x0","0x0"
"0x18","0xe","0x1b","0x0","0x49","14","12","0xe","0xc","0x30","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x19","0x10","0x1e","0x0","0x9","16","12","0x10","0xc","0x3e","0x3f","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x16","0x26","0x0","0x51","3","2","0x3","0x2","0x44","0x45","0x46","0x4a","0x0","0x0","0x0","0x0"
"0x1b","0x30","0x2a","0x0","0x49","15","11","0xf","0xb","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x1c","0x1b","0x2d","0x0","0x29","9","2","0x9","0x2","0x4b","0x4d","0x4f","0x37","0x0","0x0","0x0","0x0"
"0x1d","0x15","0x22","0x0","0x39","10","1","0xa","0x1","0x37","0x39","0x4b","0x4d","0x0","0x0","0x0","0x0"
"0x1e","0x22","0x3b","0x0","0x21","15","13","0xf","0xd","0x24","0x1f","0x28","0x26","0x0","0x0","0x0","0x0"
"0x1f","0x31","0x33","0x0","0x21","8","3","0x8","0x3","0x1a","0x1c","0x1e","0x1","0x0","0x0","0x0","0x0"
"0x20","0x23","0x3c","0x0","0x81","5","2","0x5","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x25","0x40","0x0","0x71","6","4","0x6","0x4","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x23","0x60","0x1a","0x0","0x9c","16","25","0x10","0x19","0x2e","0x33","0x0","0x0","0x0","0x3","0x1","0x0"
"0x24","0xf1","0x1a","0x60","0x1d","10","21","0xa","0x15","0x33","0x2b","0x0","0x0","0x0","0x17","0x1","0x0"
"0x25","0xeb","0x1a","0x60","0x1d","4","16","0x4","0x10","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x26","0xeb","0x1a","0x60","0x1d","6","9","0x6","0x9","0x33","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x27","0xeb","0x18","0x60","0x7d","4","8","0x4","0x8","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x28","0xeb","0x18","0x60","0x7d","5","8","0x5","0x8","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x29","0xeb","0x18","0x60","0x7d","17","7","0x11","0x7","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x2a","0xeb","0x18","0x60","0x7d","8","8","0x8","0x8","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x2b","0xeb","0x24","0x60","0x7d","9","20","0x9","0x14","0x44","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x2c","0xeb","0x24","0x60","0x7d","10","17","0xa","0x11","0x46","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x2d","0xeb","0x24","0x60","0x7d","14","8","0xe","0x8","0x44","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x2e","0xeb","0x24","0x60","0x7d","20","9","0x14","0x9","0x44","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x2f","0xeb","0x24","0x60","0x7d","6","15","0x6","0xf","0x45","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x30","0xeb","0x24","0x60","0x7d","2","15","0x2","0xf","0x46","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x31","0xeb","0x10","0x60","0x45","12","20","0xc","0x14","0xd","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x32","0xeb","0x18","0x60","0x7d","8","14","0x8","0xe","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x33","0xeb","0x1a","0x60","0x2d","9","13","0x9","0xd","0x2e","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x34","0xeb","0x18","0x60","0x7d","0","13","0x0","0xd","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x35","0xeb","0x18","0x60","0x7d","7","8","0x7","0x8","0x2f","0x0","0x0","0x0","0x0","0x17","0x1","0x0"
"0x36","0xeb","0x26","0x60","0x7d","21","14","0x15","0xe","0x46","0x50","0x0","0x0","0x0","0x3","0x1","0x0"
